episode,timestep,return,length,epsilon,loss,mean_q
235,86415,-509.0,509,0.05,0.042685382068157196,-46.475868225097656
236,86917,-502.0,502,0.05,0.15431839227676392,-45.445640563964844
237,87094,-177.0,177,0.05,0.13673008978366852,-45.63014221191406
238,87385,-291.0,291,0.05,0.5917230248451233,-49.267967224121094
239,88069,-684.0,684,0.05,0.16193503141403198,-45.62875747680664
240,88715,-646.0,646,0.05,0.06768028438091278,-48.05870056152344
241,88928,-213.0,213,0.05,0.02645745873451233,-47.101043701171875
242,89127,-199.0,199,0.05,0.13146083056926727,-45.949039459228516
243,89393,-266.0,266,0.05,0.08491296321153641,-45.12531280517578
244,89958,-565.0,565,0.05,0.054266557097435,-45.88579559326172
245,90251,-293.0,293,0.05,0.1817631870508194,-46.41957092285156
246,90395,-144.0,144,0.05,0.039709798991680145,-48.498695373535156
247,90586,-191.0,191,0.05,0.07677371799945831,-44.998050689697266
248,90874,-288.0,288,0.05,0.15990960597991943,-46.487220764160156
249,91068,-194.0,194,0.05,0.06464223563671112,-46.994041442871094
250,91326,-258.0,258,0.05,0.1255868524312973,-45.4688720703125
251,91560,-234.0,234,0.05,0.023571666330099106,-49.77705764770508
252,91722,-162.0,162,0.05,0.027438197284936905,-46.671714782714844
253,92072,-350.0,350,0.05,0.10545270144939423,-48.20365905761719
254,92306,-234.0,234,0.05,0.0665760263800621,-50.306640625
255,92418,-112.0,112,0.05,0.07427246868610382,-48.32512283325195
256,92543,-125.0,125,0.05,0.03938468545675278,-50.74311447143555
257,92697,-154.0,154,0.05,0.19662150740623474,-48.825050354003906
258,92843,-146.0,146,0.05,0.02131955511868,-46.40723419189453
259,93056,-213.0,213,0.05,0.18964381515979767,-47.58024597167969
260,93171,-115.0,115,0.05,0.11750681698322296,-46.701812744140625
261,93405,-234.0,234,0.05,0.506480872631073,-45.603111267089844
262,93632,-227.0,227,0.05,0.05374306067824364,-49.146873474121094
263,93808,-176.0,176,0.05,0.14901603758335114,-47.94231414794922
264,93936,-128.0,128,0.05,0.041490696370601654,-49.36466979980469
265,94049,-113.0,113,0.05,0.12750869989395142,-44.84127426147461
266,94223,-174.0,174,0.05,0.129771426320076,-50.73402404785156
267,94386,-163.0,163,0.05,0.12704914808273315,-49.61255645751953
268,94569,-183.0,183,0.05,0.05245668441057205,-44.47972869873047
269,94767,-198.0,198,0.05,0.028980907052755356,-42.476444244384766
270,94946,-179.0,179,0.05,0.028455929830670357,-48.96158981323242
271,95194,-248.0,248,0.05,0.06579428166151047,-52.48792266845703
272,95289,-95.0,95,0.05,0.03654804080724716,-48.036888122558594
273,95459,-170.0,170,0.05,0.06567502021789551,-46.169342041015625
274,95641,-182.0,182,0.05,0.06293240189552307,-47.560089111328125
275,95814,-173.0,173,0.05,0.04238162562251091,-50.53897476196289
276,95973,-159.0,159,0.05,0.034941721707582474,-45.03586196899414
277,96116,-143.0,143,0.05,0.14557436108589172,-48.449188232421875
278,96266,-150.0,150,0.05,0.05136933922767639,-51.7604866027832
279,96411,-145.0,145,0.05,0.21839290857315063,-46.325653076171875
280,96542,-131.0,131,0.05,0.11998840421438217,-50.58192443847656
281,96648,-106.0,106,0.05,0.04502970725297928,-44.20940017700195
282,96823,-175.0,175,0.05,0.06915656477212906,-48.0771369934082
283,96946,-123.0,123,0.05,0.0634603425860405,-46.158470153808594
284,97117,-171.0,171,0.05,0.06349563598632812,-46.18419647216797
